username,revid,revtime,pagetitle,isReverted,revertTime,cluebotRevert,stiki_score,stiki_REP_USER

DwaineK,536436937,2013-02-04T00:15:56Z,User:DwaineK,False,-,0,0,0
DwaineK,536436978,2013-02-04T00:16:20Z,User:DwaineK,False,-,0,0,0

Juanalbarran243,539169979,2013-02-20T04:06:23Z,Veritasium,False,-,0,0,0
Juanalbarran243,539170553,2013-02-20T04:11:04Z,Veritasium,False,-,0,0.211484559039,0
Juanalbarran243,539324572,2013-02-20T23:49:37Z,Veritasium,False,-,0,0.292556491154,0
Juanalbarran243,539326581,2013-02-21T00:03:04Z,Veritasium,False,-,0,0.0829442173771,0
Juanalbarran243,542497727,2013-03-07T02:38:24Z,Veritasium,False,-,0,0.142705308419,0
Juanalbarran243,542497958,2013-03-07T02:39:44Z,Veritasium,False,-,0,0.0818103647212,0
Juanalbarran243,542498146,2013-03-07T02:40:55Z,Veritasium,False,-,0,0.0436049660096,0
Juanalbarran243,542498213,2013-03-07T02:41:19Z,Veritasium,False,-,0,0.025308023986,0
Juanalbarran243,546661944,2013-03-24T03:16:08Z,Veritasium,False,-,0,0.0316455698948,0
Juanalbarran243,549600598,2013-04-10T00:28:36Z,Futurecop!,False,-,0,0.0460009775242,0
Juanalbarran243,553439417,2013-05-04T03:55:54Z,Andrés Manuel López Obrador,False,-,0,0.138954596572,0
Juanalbarran243,553439538,2013-05-04T03:57:36Z,User:Juanalbarran243,False,-,0,0,0
Juanalbarran243,553440058,2013-05-04T04:04:11Z,Talk:Veritasium,False,-,0,0,0
Juanalbarran243,572846998,2013-09-14T05:10:23Z,Raiders of the Lost Ark,False,-,0,0.138954596572,0
Juanalbarran243,584248275,2013-12-02T19:27:12Z,Need for Speed: Most Wanted (2012 video game),True,2013-12-03T12:52:33Z,0,0.0508348821233,0
Juanalbarran243,596712959,2014-02-23T01:38:32Z,The Lego Movie Videogame,False,-,0,0.0633283320708,0
Juanalbarran243,599045027,2014-03-10T21:46:25Z,User:Juanalbarran243,False,-,0,0,0
