username,revid,revtime,pagetitle,isReverted,revertTime,cluebotRevert,stiki_score,stiki_REP_USER

VZ44,602185409,2014-03-31T23:35:17Z,Leaf,True,2014-03-31T23:41:48Z,0,0.412170461517,0
VZ44,602185862,2014-03-31T23:39:48Z,Leaf,True,2014-03-31T23:41:48Z,0,0.635526513264,0
VZ44,602185915,2014-03-31T23:40:25Z,Leaf,True,2014-03-31T23:41:48Z,0,0.357782907043,0
VZ44,602186727,2014-03-31T23:48:11Z,Ice pop,True,2014-03-31T23:48:13Z,1,0.462072994026,0
VZ44,602186816,2014-03-31T23:49:00Z,Ice pop,True,2014-03-31T23:49:35Z,0,0.405644612093,0

Sihfdahbflkjasf,602176975,2014-03-31T22:20:45Z,Congress of Lutsk,True,2014-03-31T22:25:12Z,0,0.446950415721,0
Sihfdahbflkjasf,602177474,2014-03-31T22:24:54Z,Japanese cuisine,True,2014-03-31T22:25:00Z,1,0.544878892374,0
Sihfdahbflkjasf,602178710,2014-03-31T22:36:52Z,Japanese cuisine,True,2014-03-31T22:46:55Z,0,0.314966814628,0
Sihfdahbflkjasf,602178893,2014-03-31T22:38:32Z,Japanese cuisine,True,2014-03-31T22:46:55Z,0,0.437085235128,0
Sihfdahbflkjasf,602179089,2014-03-31T22:40:16Z,Talk:Cannabis (drug),True,2014-03-31T22:46:35Z,0,0,0
Sihfdahbflkjasf,602179335,2014-03-31T22:42:55Z,Saint Helena,True,2014-03-31T22:43:25Z,0,0.102201435847,0
Sihfdahbflkjasf,602179514,2014-03-31T22:44:30Z,Saint Helena,True,2014-03-31T22:44:56Z,0,0.321911750448,0
Sihfdahbflkjasf,602179961,2014-03-31T22:48:32Z,Saint Helena,True,2014-03-31T22:48:39Z,1,0.321911750448,0
Sihfdahbflkjasf,602181356,2014-03-31T22:58:31Z,Highschool of the Dead,True,2014-03-31T22:58:35Z,1,0.446950415721,0
Sihfdahbflkjasf,602181732,2014-03-31T23:01:56Z,Campione!,True,2014-03-31T23:02:47Z,0,0.280900342584,0
Sihfdahbflkjasf,602181779,2014-03-31T23:02:27Z,Campione!,True,2014-03-31T23:02:47Z,0,0.137051292575,0
Sihfdahbflkjasf,602182221,2014-03-31T23:06:55Z,Mysterious Girlfriend X,False,-,0,0.190617933369,0
Sihfdahbflkjasf,602182284,2014-03-31T23:07:38Z,Mysterious Girlfriend X,False,-,0,0.0829442173771,0
Sihfdahbflkjasf,602182560,2014-03-31T23:10:42Z,Pawn (chess),True,2014-03-31T23:10:45Z,1,0.446950415721,0

Chucho666,599477599,2014-03-13T19:40:20Z,Pierre Napoléon Bonaparte,True,2014-03-13T19:40:22Z,1,0.446950415721,0
Chucho666,601236815,2014-03-25T19:21:01Z,2013–14 NHL season,True,2014-03-25T19:21:04Z,1,0.188314425467,0
Chucho666,601236851,2014-03-25T19:21:13Z,2013–14 NHL season,True,2014-03-25T19:23:45Z,0,0.15564437566,0
Chucho666,601237035,2014-03-25T19:22:45Z,2013–14 NHL season,True,2014-03-25T19:23:45Z,0,0.0842465152996,0
Chucho666,601250372,2014-03-25T21:00:41Z,List of people associated with the French Revolution,True,2014-03-25T21:00:43Z,1,0.188314425467,0
Chucho666,602171550,2014-03-31T21:33:53Z,Fair trade,True,2014-03-31T21:36:05Z,0,0.100833280716,0
Chucho666,602171640,2014-03-31T21:34:28Z,Fair trade,True,2014-03-31T21:36:05Z,0,0.159091947714,0.999300679428682
Chucho666,602172250,2014-03-31T21:39:49Z,Fair trade,True,2014-03-31T21:40:23Z,0,0.3768359171,0.999289455794629

NHLCS,602166451,2014-03-31T20:54:51Z,Awad El Karim Makki,True,2014-03-31T20:56:07Z,0,0.219086116638,0
NHLCS,602166489,2014-03-31T20:55:09Z,Swiss Wing,True,2014-03-31T20:56:25Z,0,0.219086116638,0
NHLCS,602166524,2014-03-31T20:55:26Z,Thomas Lowry,True,2014-03-31T20:56:33Z,0,0.292556491154,0
NHLCS,602166562,2014-03-31T20:55:42Z,St. Martini Evangelical Lutheran Church,True,2014-03-31T20:55:58Z,0,0.292556491154,0
NHLCS,602166608,2014-03-31T20:55:59Z,Trudeau (disambiguation),True,2014-03-31T20:56:35Z,0,0.495750102351,0

Silly Game Joe 50000000,602162459,2014-03-31T20:27:11Z,User talk:Silly Game Joe 50000000,True,2014-03-31T20:27:52Z,0,0,0
Silly Game Joe 50000000,602162509,2014-03-31T20:27:27Z,User talk:Silly Game Joe 50000000,True,2014-03-31T20:27:52Z,0,0,0

Miley cyrus 999999.0,602150355,2014-03-31T18:58:06Z,User:Miley cyrus 999999.0/sandbox,False,-,0,0,0
Miley cyrus 999999.0,602151659,2014-03-31T19:07:30Z,Blackbuck Conservation Area,True,2014-03-31T19:07:31Z,1,0.721517216251,0
Miley cyrus 999999.0,602152243,2014-03-31T19:12:21Z,"Gospatric III, Earl of Lothian",True,2014-03-31T19:12:37Z,0,0.713817988596,0.999507537539204
Miley cyrus 999999.0,602153117,2014-03-31T19:19:14Z,Robert de Grandmesnil,True,2014-03-31T19:19:16Z,1,0.445220764893,0.998730037255045

MattLee1998,602150987,2014-03-31T19:02:26Z,Talk:William Shakespeare,True,2014-03-31T19:03:01Z,0,0,0
MattLee1998,602151282,2014-03-31T19:04:39Z,Major League Baseball,True,2014-03-31T19:04:47Z,1,0.292556491154,0
MattLee1998,602151334,2014-03-31T19:05:02Z,Major League Baseball,True,2014-03-31T19:05:14Z,0,0.247312018968,0
MattLee1998,602151550,2014-03-31T19:06:32Z,Major League Baseball,True,2014-03-31T19:06:43Z,0,0.247312018968,0

PoachCity,602144152,2014-03-31T18:11:46Z,User:PoachCity,False,-,0,0,0

Kevin.espvr,602124151,2014-03-31T15:47:37Z,The Four Gospels,True,2014-03-31T16:16:14Z,0,0.625040868539,0.989413735790778
